Subgroup,N,Responders,Response_Rate,CI_95,Risk_Increase,Relative_Risk,P_Value,Significant
RIDAGEYR <=Q1 (31.00),98,46,46.9%,"[37.4%, 56.7%]",+5.6%,1.14,0.3737,False
LBXSATSI <=Q1 (13.00),101,44,43.6%,"[34.3%, 53.3%]",+2.2%,1.05,0.7689,False
RIDAGEYR >=Q3 (67.00),98,41,41.8%,"[32.6%, 51.7%]",+0.5%,1.01,1.0000,False
LBXGLU <=Q1 (93.00),98,40,40.8%,"[31.6%, 50.7%]",-0.5%,0.99,1.0000,False
LBXGLU >=Q3 (108.00),96,38,39.6%,"[30.4%, 49.6%]",-1.7%,0.96,0.8475,False
LBXSATSI >=Q3 (23.00),96,37,38.5%,"[29.4%, 48.5%]",-2.8%,0.93,0.7054,False
INDFMPIR <=Q1 (1.69),96,37,38.5%,"[29.4%, 48.5%]",-2.8%,0.93,0.7054,False
INDFMPIR >=Q3 (4.82),96,36,37.5%,"[28.5%, 47.5%]",-3.8%,0.91,0.5727,False
